Material,Supplier/Supplying Plant,Still to be delivered (qty)
30011753,1014639    Miki Pulley India Pvt Ltd,3
30002047,1014934    THK India Pvt. Ltd.,20
30002091,1014934    THK India Pvt. Ltd.,40
30002039,1014934    THK India Pvt. Ltd.,30
30002039,1014934    THK India Pvt. Ltd.,20
30012205,1014934    THK India Pvt. Ltd.,10
20010173,1014702    Aspire Precision Technologies,1
20010173,1014701    Unique Cnc Technologies,1
20002507,1014662    C-Tech Innovative Manufacaturers,16
20014217,1014590    GK Industries,77
20010987,1014688    Progressive Systems,2
20005261,1014688    Progressive Systems,2
20010962,1014578    Eva Technologies,1
20001422,1014785    Aarav Engineering,22
20006459,1014662    C-Tech Innovative Manufacaturers,1
20054045,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20013022,1014796    Sharath Engineering,32
20054404,1014688    Progressive Systems,4
20054006,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20014022,1014862    G S Tooling Systems,25
30005754,1015584    Festo India Private Limited,16
30011663,1014639    Miki Pulley India Pvt Ltd,15
20001406,1014785    Aarav Engineering,24
20001421,1014785    Aarav Engineering,10
20001456,1014785    Aarav Engineering,2
20005926,1014662    C-Tech Innovative Manufacaturers,31
20013348,1014580    Mathroshree Machine Tools,1
20023878,1015280    Sri Sai Industries Unit-1,24
20015417,1014590    GK Industries,12
38000493,1016828    Fanuc India Pvt Ltd,1
38000116,1016828    Fanuc India Pvt Ltd,3
38001730,1016828    Fanuc India Pvt Ltd,5
30011686,1014639    Miki Pulley India Pvt Ltd,1
20058589,1017253    P N P Industries,1
20001406,1014785    Aarav Engineering,8
20001422,1014785    Aarav Engineering,63
20001456,1014785    Aarav Engineering,2
20001423,1016514    Manjunatha Industries,16
20001435,1016514    Manjunatha Industries,1
20002507,1014829    7N Tech,73
20002507,1014662    C-Tech Innovative Manufacaturers,1
20010697,1014590    GK Industries,2
30005746,1016884    S M C Corporation India Pvt Ltd,50
20001406,1014785    Aarav Engineering,6
20001421,1014785    Aarav Engineering,4
20005366,1014662    C-Tech Innovative Manufacaturers,22
20014217,1014568    M K Industries,19
20002507,1014662    C-Tech Innovative Manufacaturers,260
20020652,1015081    Dhamini Metal Packing,3
20010697,1014578    Eva Technologies,1
20002507,1017395    Dynamic Systems,25
20067420,"1018127    P001-Ace,7 & 8",2
20066940,"1018127    P001-Ace,7 & 8",1
20067143,"1018127    P001-Ace,7 & 8",1
20066757,"1018127    P001-Ace,7 & 8",1
20067420,1019094    ACE DESIGNERS LTD,2
20066940,1019094    ACE DESIGNERS LTD,1
20067143,1019094    ACE DESIGNERS LTD,1
20066757,1019094    ACE DESIGNERS LTD,1
20054404,1014688    Progressive Systems,4
20053726,1014697    AMS Bhargava Machining Pvt. Ltd.,3
20053715,1005196    Ace Multi Axes Systems Ltd.,1
20054043,1015169    AMS Bhargava Machining Pvt. Ltd.,1
30002615,1014604    Cenlub Industries Ltd.,10
20000942,1017395    Dynamic Systems,8
30002136,1015585    Schneeberger India Pvt Ltd,6
30002111,1015585    Schneeberger India Pvt Ltd,4
30002141,1015585    Schneeberger India Pvt Ltd,4
20009896,1015026    Accuspirals,66
20053715,1005196    Ace Multi Axes Systems Ltd.,2
20014217,1014862    G S Tooling Systems,90
20005366,1014662    C-Tech Innovative Manufacaturers,1
20010180,1017503    Aarav Precision,32
20010181,1017503    Aarav Precision,32
20058589,1017253    P N P Industries,6
20058134,1017253    P N P Industries,75
20009896,1014608    Pragati Transmission Private Limite,100
20053658,1015180    Mythri Metallizing India (Unit-03),1
20054001,1015501    Hadinakal Systems,1
20020652,1016957    Excellent Laser Tech,2
20013024,1014796    Sharath Engineering,17
20002507,1017395    Dynamic Systems,6
20010947,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20001406,1014785    Aarav Engineering,34
20001421,1014785    Aarav Engineering,10
20052710,1014704    SLN Precision Works,1
20063596,1014820    M P P Technologies Pvt Ltd,10
20063599,1014820    M P P Technologies Pvt Ltd,10
20060720,1014820    M P P Technologies Pvt Ltd,10
20014217,1014590    GK Industries,25
20005570,1014578    Eva Technologies,5
20002507,1014662    C-Tech Innovative Manufacaturers,16
20054045,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20052710,1014598    Ams Precision Products Pvt Ltd,1
20014022,1014611    Excellence Technologies,13
38000116,1016828    Fanuc India Pvt Ltd,1
38000410,1016828    Fanuc India Pvt Ltd,50
38000412,1016828    Fanuc India Pvt Ltd,1
38000493,1016828    Fanuc India Pvt Ltd,1
38001730,1016828    Fanuc India Pvt Ltd,30
10000675,1016874    S R Enterprises,70
20054404,1014688    Progressive Systems,1
20054043,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20054404,1014688    Progressive Systems,8
30018480,1018095    Krushi Solutions,15
20067311,1016312    Sahara Solutions,1
20067310,1016312    Sahara Solutions,1
30000505,1014973    Pragati Automation Pvt. Ltd.,1
20054404,1014688    Progressive Systems,1
20054043,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20053855,1015280    Sri Sai Industries Unit-1,1
38000410,1016828    Fanuc India Pvt Ltd,18
38000412,1016828    Fanuc India Pvt Ltd,1
38000493,1016828    Fanuc India Pvt Ltd,1
30018259,1015524    Sun Electro Systems Pvt Ltd,-6
20054299,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20023878,1015191    Sri Sai Industries Unit-2,6
20054006,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20005668,1014662    C-Tech Innovative Manufacaturers,21
20054404,1014688    Progressive Systems,1
20014022,1014568    M K Industries,25
20014217,1014568    M K Industries,4
20002507,1014701    Unique Cnc Technologies,255
20053217,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20053217,1015169    AMS Bhargava Machining Pvt. Ltd.,8
20054045,1015291    V M Sakthi Industries,1
20003401,1017395    Dynamic Systems,239
20001295,1014662    C-Tech Innovative Manufacaturers,121
30011685,1014639    Miki Pulley India Pvt Ltd,10
30011686,1014639    Miki Pulley India Pvt Ltd,70
10022203,1014584    Yashasvi Enterprises,46
20054404,1014688    Progressive Systems,1
20001421,1014785    Aarav Engineering,10
20053658,1005194    Ace Multi Axes Systems Ltd.,1
20053855,1017191    Advith Industries,5
20005668,1015202    Accutech Cnc,88
20053833,1015501    Hadinakal Systems,3
20014208,1014585    Aggressive Technologies,21
20058134,1017253    P N P Industries,53
20014208,1014862    G S Tooling Systems,59
20054043,1014688    Progressive Systems,2
30002091,1014934    THK India Pvt. Ltd.,40
30002091,1014934    THK India Pvt. Ltd.,10
20023878,1015147    Aegis Manufacturing Systems,10
30003389,1016896    Yuken India Ltd.,83
30004650,1016896    Yuken India Ltd.,81
30004484,1014694    Yuken India Limited,65
38000493,1016828    Fanuc India Pvt Ltd,1
20067117,1016312    Sahara Solutions,1
20010561,1017018    Concentra Precision Technologies,1
30009753,1016785    Igus India Pvt. Ltd.,338
20008050,1015523    Chandan Enterprises,19
20020652,1015147    Aegis Manufacturing Systems,10
20053823,1014697    AMS Bhargava Machining Pvt. Ltd.,1
20020652,1015147    Aegis Manufacturing Systems,4
20053837,1014697    AMS Bhargava Machining Pvt. Ltd.,3
20014022,1014568    M K Industries,1
20001423,1016514    Manjunatha Industries,10
20001435,1016514    Manjunatha Industries,6
20012603,1014796    Sharath Engineering,160
20013348,1014796    Sharath Engineering,43
10014497,1015072    Sri Balaji Solutions,2
30011753,1014639    Miki Pulley India Pvt Ltd,7
30011714,1014639    Miki Pulley India Pvt Ltd,20
30011686,1014639    Miki Pulley India Pvt Ltd,130
30011685,1014639    Miki Pulley India Pvt Ltd,300
30005754,1015584    Festo India Private Limited,30
30005501,1015584    Festo India Private Limited,4
30016988,1015422    Kabel Corporation,68
30005746,1016884    S M C Corporation India Pvt Ltd,97
30005697,1016884    S M C Corporation India Pvt Ltd,5
30005200,1016884    S M C Corporation India Pvt Ltd,5
30002033,1014934    THK India Pvt. Ltd.,20
30002047,1014934    THK India Pvt. Ltd.,120
30001885,1014934    THK India Pvt. Ltd.,20
30001885,1014934    THK India Pvt. Ltd.,20
10003891,1016649    Divya Enterprises,101
10003752,1016649    Divya Enterprises,176
30000211,1015424    Maco Corporation India Pvt Ltd,211
30000156,1015424    Maco Corporation India Pvt Ltd,65
20010561,1017018    Concentra Precision Technologies,21
30002615,1014604    Cenlub Industries Ltd.,6
30016934,1016513    Pooja Power Products,205
30016945,1016513    Pooja Power Products,208
30017001,1016513    Pooja Power Products,145
20053733,1014697    AMS Bhargava Machining Pvt. Ltd.,2
20098404,1014589    YSL Electronics,239
10003767,1017040    BSR Power Systems,110
30001639,1016866    NSK Bearing India Pvt Ltd,857
30001640,1016866    NSK Bearing India Pvt Ltd,254
30001644,1016866    NSK Bearing India Pvt Ltd,476
30001655,1016866    NSK Bearing India Pvt Ltd,390
20054045,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20060716,1014820    M P P Technologies Pvt Ltd,10
20063596,1014820    M P P Technologies Pvt Ltd,25
20063599,1014820    M P P Technologies Pvt Ltd,25
20060720,1014820    M P P Technologies Pvt Ltd,10
20054045,1015169    AMS Bhargava Machining Pvt. Ltd.,3
30011686,1014639    Miki Pulley India Pvt Ltd,10
30000505,1014973    Pragati Automation Pvt. Ltd.,37
20001421,1014662    C-Tech Innovative Manufacaturers,2
20001422,1014662    C-Tech Innovative Manufacaturers,26
20001456,1014662    C-Tech Innovative Manufacaturers,92
20005926,1014662    C-Tech Innovative Manufacaturers,1
20006459,1014662    C-Tech Innovative Manufacaturers,2
30018480,1017559    NS Engineers And Management,556
20000942,1017395    Dynamic Systems,104
20010287,1017395    Dynamic Systems,18
20010288,1017395    Dynamic Systems,18
20098461,1016634    Aishwarya Digitec Pvt Ltd,110
30018469,1016634    Aishwarya Digitec Pvt Ltd,275
20001421,1014662    C-Tech Innovative Manufacaturers,2
20001422,1014662    C-Tech Innovative Manufacaturers,26
20001456,1014662    C-Tech Innovative Manufacaturers,6
20067043,1016726    Sur Armour Pvt Ltd,1
20010173,1014702    Aspire Precision Technologies,150
20053739,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20005668,1014662    C-Tech Innovative Manufacaturers,18
20011166,1017503    Aarav Precision,5
20010173,1017395    Dynamic Systems,6
20005657,1014702    Aspire Precision Technologies,47
20053217,1014688    Progressive Systems,10
20010735,1014598    Ams Precision Products Pvt Ltd,6
20053733,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20053855,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20000942,1017395    Dynamic Systems,1
20053786,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20015699,1014644    Ace Multi Axes Systems Ltd. Unit-1,25
20015699,1014644    Ace Multi Axes Systems Ltd. Unit-1,6
20054299,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20053323,1014578    Eva Technologies,1
20000942,1017395    Dynamic Systems,2
20053833,1015501    Hadinakal Systems,1
20054045,1015169    AMS Bhargava Machining Pvt. Ltd.,9
20010173,1014702    Aspire Precision Technologies,11
20010181,1017395    Dynamic Systems,1
20002507,1014829    7N Tech,7
20001295,1016747    Steering And Versatile Engineering,1
20053833,1015501    Hadinakal Systems,1
20005668,1014662    C-Tech Innovative Manufacaturers,215
20011166,1017503    Aarav Precision,4
20054043,1015169    AMS Bhargava Machining Pvt. Ltd.,2
20054045,1015169    AMS Bhargava Machining Pvt. Ltd.,25
20010288,1017395    Dynamic Systems,1
20003401,1017395    Dynamic Systems,34
20010697,1015401    IQ Technologies,1
20053833,1015169    AMS Bhargava Machining Pvt. Ltd.,4
20053833,1015501    Hadinakal Systems,1
20054422,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20010180,1017395    Dynamic Systems,239
20010181,1017395    Dynamic Systems,239
20054299,1015169    AMS Bhargava Machining Pvt. Ltd.,1
20053217,1015169    AMS Bhargava Machining Pvt. Ltd.,10
20010987,1014688    Progressive Systems,2
20010173,1014701    Unique Cnc Technologies,805
20005668,1015202    Accutech Cnc,30
20010962,1015169    AMS Bhargava Machining Pvt. Ltd.,5
