Material,Total Qty
20015089,1
20015089,2
20015090,2
20015091,4
20015092,1
20015093,1
20015100,2
20015102,2
20015116,1
20015128,1
20015132,1
20015133,1
20015148,11
20015153,1
20015158,1
20015192,1
20015199,3
20015292,3
20015293,1
20015321,8
20015328,1
20015333,2
20015372,1
20015387,2
20015401,1
20015401,1
20015430,1
20015432,3
20015433,2
20015443,1
20015444,3
20015448,1
20015452,2
20015454,1
20015457,1
20015458,5
20015459,1
20015478,8
20015497,1
20015527,6
20015535,2
20015548,10
20015563,28
20015575,3
20015581,38
20015581,784
20015587,20
20015591,3
20015602,9
20015617,1
20015662,2
20015670,1
20015674,1
20015694,5
20015705,6
20015706,3
20015740,1
20015741,4
20015741,24
20015757,13
20015757,1
20015784,2
20015793,2
20015794,18
20015794,1
20015800,2
20015816,10
20015817,10
20015844,8
20015853,1
20015855,1
20015856,1
20015858,4
20015863,28
20015868,1
20015883,16
20015886,5
20015888,4
20015888,24
20015902,3
20015905,28
20015933,1
20015942,"11,579"
20015944,138
20015946,"2,677"
20015949,16
20015957,104
20015962,2
20015972,68
20015976,19
20015979,10
20015980,144
20015982,1
20015989,12
20015998,2
20016003,1
20016007,5
20016019,15
20016030,1
20016036,3
20016038,48
20016046,37
20016104,1
20016110,1
20016118,1
20016202,1
20016209,2
20016210,1
20016211,1
20016218,2
20016236,1
20016241,1
20016243,4
20016286,4
20016290,1
20016294,4
20016303,1
20016307,76
20016541,1
20016673,1
20016676,2
20016677,2
20016689,3
20016701,3
20016732,1
20016942,1
20017332,1
20017957,2
20018156,1
20018157,1
20018516,1
20018540,1
20018601,1
20018602,1
20018603,2
20018760,1
20019019,1
20019112,1
20019224,1
20019292,11
20019586,1
20019598,1
20019604,3
20019605,1
20019606,1
20020652,2
20020654,2
20020955,1
20021102,1
20021103,1
20021735,1
20021736,1
20023103,2
20023406,1
20023417,1
20023624,4
20024055,1
20024599,1
20024600,1
20024956,1
20024957,1
20025103,1
20025104,1
20025251,1
20025384,1
20025492,1
20025799,1
20025802,1
20025994,1
20025999,1
20026100,1
20026191,1
20026191,1
20026304,1
20026305,1
20026342,1
20026449,1
20026501,1
20026524,2
20026571,1
20026701,1
20026850,1
20026851,1
20026852,1
20026918,1
20026919,1
20027094,1
20028195,2
20029543,1
20029544,1
20029602,1
20029665,4
20029714,2
20029719,64
20029860,7
20029931,1
20030014,1
20030163,4
20030771,21
20031036,3
20031231,2
20031293,1
20031353,1
20031567,1
20031568,1
20031654,1
20031833,1
20032194,3
20032267,2
20032455,1
20032456,1
20032456,1
20032841,1
20032845,1
20032974,1
20033036,3
20033525,1
20033779,1
20034138,2
20034234,1
20034249,1
20034249,1
20034327,1
20034333,1
20034334,1
20034422,1
20034498,2
20034587,1
20034675,1
20034682,14
20034760,10
20034832,2
20034874,1
20034940,1
20034942,44
20035180,22
20035188,13
20035210,1
20035213,1
20035215,1
20035283,2
20035286,4
20035411,2
20035418,1
20035426,1
20035512,3
20035552,1
20035780,4
20035787,1
20035798,1
20035827,1
20035845,1
20035847,1
20035848,1
20035900,1
20035901,1
20036064,1
20036101,1
20036157,2
20036223,2
20036228,1
20036244,1
20036245,1
20036246,2
20036247,2
20036350,1
20036365,2
20036467,2
20036607,1
20036745,6
20036746,6
20036755,6
20036878,1
20036918,1
20037018,1
20037159,1
20037387,1
20037388,1
20037403,1
20037404,1
20037450,2
20037452,1
20037453,1
20037454,1
20037546,2
20037600,1
20037605,1
20037624,1
20037678,1
20037720,1
20037840,1
20037870,1
20037883,1
20037891,4
20038069,1
20038072,5
20038073,4
20038092,3
20038098,3
20038135,8
20038149,4
20038414,1
20038422,1
20038472,1
20038472,4
20038473,1
20038473,5
20038474,1
20038474,4
20038477,1
20038477,4
20038480,1
20038508,1
20038544,1
20038548,1
20038557,1
20038558,1
20038567,1
20038651,3
20038779,3
20038791,1
20038803,1
20038808,1
20038810,1
20038812,2
20038813,2
20038867,3
20038878,1
20039313,2
20039350,1
20039395,2
20039528,1
20039765,1
20039779,1
20039844,2
20039992,30
20040259,1
20040264,2
20040265,1
20040463,1
20040510,2
20040650,1
20040669,1
20040731,9
20040941,4
20041021,9
20041022,2
20041110,1
20041285,1
20041299,4
20041300,5
20041400,2
20041401,2
20041499,1
20041874,3
20041874,12
20041903,1
20042332,1
20042468,2
20042555,1
20042663,1
20042790,4
20042840,1
20042841,1
20042842,1
20042843,1
20042844,2
20043086,1
20043145,1
20043212,1
20043242,1
20043264,1
20043265,1
20043355,1
20043375,1
20043519,4
20043587,2
20043650,13
20043659,1
20043770,1
20044114,4
20044159,1
20044422,1
20044438,1
20044467,2
20044488,1
20044684,44
20044685,44
20044699,16
20044712,1
20044845,1
20044945,1
20045106,3
20045107,3
20045328,1
20045473,4
20045776,2
20045833,1
20045945,1
20045946,4
20045947,8
20045948,4
20046008,1
20046056,1
20046067,2
20046106,14
20046218,1
20046247,1
20046358,1
20046378,1
20046404,2
20046437,1
20046550,1
20046583,3
20046778,1
20046802,1
20046995,1
20047263,1
20047756,2
20047810,1
20047863,1
20047887,1
20047919,8
20047953,6
20047960,1
20048031,1
20048162,1
20048182,1
20048246,3
20048262,4
20048321,1
20048340,2
20048347,1
20048349,2
20048365,2
20048367,3
20048393,2
20048410,1
20048427,1
20048618,1
20048620,1
20048757,2
20048812,4
20048861,3
20048877,1
20048880,1
20048909,10
20048961,4
20048969,8
20048970,3
20048974,1
20049058,1
20049060,1
20049066,10
20049155,1
20049166,2
20049198,1
20049251,2
20049275,4
20049278,1
20049286,1
20049306,4
20049319,1
20049320,8
20049352,15
20049379,13
20049384,2
20049403,2
20049416,4
20049418,2
20049420,2
20049440,1
20049486,1
20049501,5
20049505,10
20049512,1
20049513,6
20049527,4
20049535,6
20049543,1
20049548,2
20049564,1
20049565,1
20049566,2
20049613,4
20049614,8
20049615,4
20049637,1
20049638,4
20049638,4
20049639,4
20049639,4
20049662,3
20049696,1
20049760,4
20049841,1
20049863,4
20049864,7
20049930,1
20050017,1
20050019,1
20050029,38
20050061,2
20050062,2
20050063,1
20050081,12
20050173,3
20050174,3
20050261,2
20050309,2
20050471,5
20050548,1
20050566,1
20050699,1
20050718,4
20050721,5
20050722,4
20050724,2
20050787,2
20050803,1
20050804,2
20050805,2
20050814,1
20050823,5
20050829,2
20050836,70
20050837,1
20050862,2
20050885,1
20050899,1
20050913,1
20050920,2
20050956,1
20050975,2
20050985,223
20050985,26
20051002,15
20051032,4
20051090,2
20051114,1
20051119,2
20051131,1
20051132,1
20051162,5
20051178,6
20051195,1
20051198,2
20051248,10
20051249,1
20051250,1
20051251,1
20051259,3
20051275,1
20051283,2
20051284,1
20051296,2
20051300,3
20051301,1
20051301,1
20051309,1
20051335,1
20051350,1
20051352,1
20051385,11
20051386,12
20051389,3
20051423,1
20051500,8
20051514,4
20051562,1
20051648,1
20051652,8
20051658,1
20051746,1
20051763,2
20051771,9
20051772,4
20051773,2
20051803,4
20051804,2
20051813,268
20051819,3
20051832,4
20051844,4
20051845,2
20051862,345
20051887,1
20051893,1
20051912,8
20051930,1
20051931,6
20051932,2
20051933,2
20051934,1
20051935,1
20051944,1
20051944,10
20051946,22
20051980,1
20051985,2
20052018,2
20052019,2
20052020,2
20052021,2
20052031,1
20052035,40
20052050,1
20052058,8
20052066,2
20052069,2
20052075,1
20052076,1
20052083,4
20052118,1
20052124,3
20052149,1
20052183,2
20052184,2
20052214,1
20052228,2
20052229,7
20052245,2
20052246,2
