Material ID,Material Description
20067001,TELESCOPIC COVER (Z-AXIS)
20005668,BRACKET MOTOR MOUNTING-DD DIA 70
20067420,TELESCOPIC COVER-X-M30-CENT.H.S
20066757,TELESCOPIC COVER (Z-AXIS)
30003594,"DBL ACTING HYD CYL,D40xD32x152 STROKE"
20067043,TELESCOPIC COVER
20010561,HOUSING CARTRIDGE
20012603,PLATE KEEPER
20015406,ROD DRAWBAR
30002610,WATER PISTOL [MODEL NO - 229912-01]
30001644,ACBB 7010CTYNDULP4-NSK
20066736,TELESCOPIC COVER (Z-AXIS)
30017001,CONTACTOR 230VAC(LC1E65 M7)-SCHNEIDER
20000944,PLATE BUTTING
20014208,PLATE MOUNTING
20010697,HOUSING CYLINDER
20067163,TELESCOPIC COVER-X AXIS-LH AND R.H
30011714,CPG SFC-090DA2-28B-35B MIKY PULLEY
30011663,CPG SFC-090DA2-30B-35B MIKY PULLEY
20064033,SHEET PLATE-PANEL MAIN STD
30002496,COOLANT PUMP_RV160/270_9C_.3Kw_380-415V
30005901,AIR DRIER-VXD-2-TRIDENT
20012041,PISTON
20013024,PLATE MOUNTING
10014497,A01112-HYD JUNCTION BOX WIRING-24PIN
30001639,ACBB 7014CTYNSULP4Y-NSK
30001640,ACBB 7014A5TYNSULP4Y-NSK
20009226,FLANGE GUIDE
20010180,HOUSING BEARING-ME
20006459,BRACKET-LH
20001435,BLOCK HEIGHT
20000942,BEARING HOUSING SET C37-0119/C37-0155
30003389,D.C VLV-S-DSG-01-3C2-D24-N1-50
20010181,HOUSING BEARING-BE
20000938,BEARING HOUSING SET OF C37-0103/C37-0153
30017005,CONTACTOR 230VAC(MC-65A)-LS ELECTRIC
20010287,HOUSING BEARING
20001295,BLOCK GUIDE
10022181,CB-XP01-20500_X-AXIS POWER-400
30002412,LNR BALL BRNG ASSLY((INS: CE-20-2-570L)
20063596,ELE. CABINET DOOR( LHS )STD
20063599,ELE. CABINET DOOR( RHS)STD
20005926,BRACKET GENERAL - LIFTING
20050885,SPACER CYLINDRICAL-OUTER
20005366,BRACKET GENERAL-LIFTING BKT-540V
30016945,CONTACTOR 24VDC(LP2K0901BD)-SCHNEIDER
30005501,CYLINDER PNEUMATIC_DSBC-32-400-PPVA-N3
30016988,40A-CONTACTOR 230VAC(3RT2035-1AP00)-SIE
10003767,CB-SP01-100625_SPINDLE POWER-M11-10SQ
20001423,BLOCK HEIGHT 25MM
10003752,CB-SF02-0650_SPINDLE FEEDBACK-STD
20015417,ROD DRAW BAR
20013022,PLATE MOUNTING
20005657,BRACKET MOTOR MOUNTING
20020652,SHEET GUARD 24TOOL ATC TOP
20050890,SPACER CYLINDRICAL-OUTER
20058589,PIPE COOLANT-CROWN
20008749,FLANGE COVER
10003569,CB-IP1-0525_SKB-M11
30005697,FILTER REGULATOR (AC20-X351022) 0-2 BAR
20010288,HOUSING BEARING-BE
20058134,TUBE COOLANT-FLOOD COOLANT
30005754,D.C VLV-JMFH-5 1/8
30004650,BRAKE MODULE VLV 1/8 MBR-01-C-30
20001406,BLOCK HEIGHT
30011713,CPG SFC-060DA2-28B-35B MIKY PULLEY
20050803,SPACER CYLINDRICAL-INNER
10003802,CB-XF02-0525_X-AXIS FEEDBACK-400
20008799,FLANGE COVER D 70 DD/ID CTS/NCTS SCA
30009753,CABLE DRAG CHAIN-3550.115.150.0-14 LNK
38001168,"CHOKE FOR 2HP VFD, 400V 3 PHASE"
30011685,CPG SFC-060DA2-20B-24B MIKY PULLEY
30011686,CPG SFC-060DA2-20B-35B MIKY PULLEY
30011753,CPG ALS-065G-20B-24B MIKY PULLEY
20014217,PLATE MOUNTING
10022203,CB-ZP01-40475_Z-AXIS POWER-400
20098410,SOLID STATE RELAY BOARD (8 RELAY) TB TYP
20079853,FABRICATION STAND (FOR 40 LTR TANK-HPP)
20050808,SPACER CYLINDRICAL-INNER
20014022,PLATE MOUNTING
20023878,SHEET GUARD-24T ATC GRD TOP
20009123,FLANGE LOCATING
20011166,HOUSING BEARING BALLSCREW ME
10003891,CB-ZF02-0500_Z-AXIS FEEDBACK-400
30018480,MACHINE LAMP(7M)36W-MARUTI INTERNATIONAL
30018469,"MACHINE LAMP LED,24VDC,36W"
20008731,FLANGE COVER
20003401,BRACKET MOTOR MTGWT
20002507,BLOCK NUT MOUNTING
20010173,HOUSING BEARING-ME
20049060,SHEET POLYCARBONATE 24TOOL ATC
20008050,COVER END D 70 DD/ID CTS/NCTS SCA
